gu,10~20M,10~20W,20~29M,20~29W,30~39M,30~39W,40~49M,40~49W,50~59M,50~59W,60~69M,60~69W
종로구,401943,502490,1292444,1907997,1479231,1510887,1766939,1409884,1848224,1527367,1488623,1182806
중구,274512,349755,1344161,1883159,1947120,1894742,2153825,1605002,2008855,1617273,1419883,1262880
용산구,386371,368996,119669,1532567,1520338,1495530,1534114,1171310,1322749,1126686,951110,841408
성동구,467953,521238,1324768,1622380,1374973,1384012,1535176,1197445,1492060,1314719,1181251,1010176
광진구,626257,668643,1471924,1796322,1225163,1272590,1374583,1221048,1514236,1521969,1241238,1194743
동대문구,496018,516300,1172165,1439746,1025619,957992,1315908,1023127,1494166,1320037,1406734,1205659
중랑구,461168,473099,773488,849922,890115,914849,1149327,1002532,1447520,1535932,1342085,1274247
성북구,826498,848902,1215901,1501356,1018995,1121005,1375819,1340034,1519089,1591293,1270516,1277580
강북구,439624,436873,677713,768138,635689,661509,936694,873983,1124457,1272170,1057086,1118749
도봉구,410757,384215,518208,566748,570926,590088,845036,761106,1070499,1194255,1103958,1069835
노원구,1187864,1112990,1202545,1269517,1064811,1191264,1589423,1689207,1889839,2150829,1676557,1742949
은평구,744822,740523,857425,1004564,1014255,1164732,1398529,1370710,1558308,1767372,1448743,1503118
서대문구,576494,657632,1245772,1739142,1090564,1198411,1300902,1183822,1319154,1346222,1031349,1025256
마포구,796377,982347,2148112,3222149,2069745,2225611,2162798,1788066,1815081,1658917,1297123,1239082
양천구,982804,918298,742693,820051,885033,992775,1384126,1381922,1440670,1522552,1197829,1217508
강서구,825218,793468,1434353,1757302,2046813,1973564,236168,1809383,2194698,2052280,1898181,1765376
구로구,475291,467701,988488,1100395,1441701,1321873,1723633,1297462,1766347,1589226,1477735,1292231
금천구,227795,238702,721293,750926,1031399,766033,1135260,704502,1159043,925152,862213,681415
영등포구,612971,595777,1720707,2143721,2588405,2354729,2720387,1890498,2573661,2069081,1838624,1579030
동작구,554368,532131,1233590,1332854,1103993,1097496,1209419,1110901,1299885,1383181,1165136,1228599
관악구,556426,576511,2004749,2085391,1608397,1335256,1409569,1131903,1543933,1476829,1336232,1282530
서초구,1083211,1097519,1720701,2343559,2503745,2576197,3268304,2639902,2940881,2490273,2155162,2005522
강남구,1887500,1849602,3133261,4620736,4449099,4453304,5134210,3928338,4100853,3300586,2828052,2613846
송파구,1487895,1523160,2097991,2628724,2819638,3014753,3377197,2992189,3296550,3242972,2765352,2793124
강동구,1126997,948725,1087530,1219717,1422526,1569609,1860828,1826194,2074110,2196437,1954040,2053597
