,station,line,07-10 on avg,07-10 off avg,10-17 on avg,10-17 off avg,17-22 on avg,17-22 off avg,X,Y
0,가능,1호선,19677,9021,9545,7692,7008,14585,37.748577,127.044213
1,가락시장,1호선,14913,20191,12542,11831,15680,15024,37.492522,127.118234
2,가산디지털단지,1호선,16328,159990,24042,26365,100601,20738,37.481072,126.882343
3,가양,1호선,60359,28602,27315,21860,24845,45483,37.561391,126.854456
4,가오리,1호선,13832,3586,6063,5343,3245,9549,37.641701,127.016792
5,가좌,1호선,17062,5970,7312,6762,5741,10947,37.568491,126.915487
6,가천대,1호선,18370,15919,12426,11571,11343,17417,37.448605,127.126697
7,가평,2호선,2844,4023,4192,4297,3317,2498,37.814536,127.510739
8,간석,2호선,18714,5884,8286,6961,6291,14356,37.464737,126.694181
9,강남,2호선,51394,263928,108271,128623,236847,120329,37.497175,127.027926
10,강남구청,2호선,7995,54433,13764,17482,35614,12527,37.517186,127.04128
11,강동,2호선,57206,31524,25132,20149,27324,36747,37.535804,127.132481
12,강동구청,2호선,30565,20042,13233,11892,14014,22287,37.530341,127.120508
13,강매,2호선,13049,1881,3333,2342,1898,7307,37.612314,126.843223
14,강변(동서울터미널),2호선,92780,40415,56556,51909,53167,81623,37.535095,127.094681
15,강촌,2호선,451,1201,1411,1202,923,477,37.805723,127.634146
16,개롱,2호선,19537,10467,9004,7781,8088,15048,37.498079,127.13482
17,개봉,2호선,75229,19610,30002,25464,21672,60424,37.494594,126.85868
18,개포동,2호선,7114,6880,5266,4377,5613,6468,37.489116,127.06614
19,개화,2호선,13587,4111,4071,2798,4288,6002,37.578608,126.798153
20,개화산,2호선,16423,8677,7174,6128,7204,11222,37.572399,126.806171
21,거여,2호선,25849,10688,10481,8427,8696,16766,37.493105,127.14415
22,건대입구,2호선,41940,35739,31919,39804,52712,62413,37.540693,127.07023
23,검암,2호선,14522,4994,4599,3291,4116,10748,37.569104,126.673728
24,경기광주,2호선,27502,5643,8783,6421,5511,19688,37.399907,126.630347
