,date,title,contents
0,2018.06.28.,서울 꼬마빌딩도 거래절벽…대출규제·임대부진에 인기 `뚝`,점포폐업 속출…임대수익률 떨어진게 원인 서울도심 한복판도 매매 안돼…40억 호가 빌딩 27억으로 `털썩... 선릉역과 선정릉역 사이를 잇는 선정릉 옆 골목은 과거 스타트업 창업자에게 '사업운이 대박인 길지'로...
1,2018.06.17.,"서울 소상공인 10명 중 7명, 전국 동종업종보다 소득 낮아",10일 서울 종로구의 한 침구류 소매점에서 폐업처분을 위해 할인 판촉을 벌이고 있다. /연합뉴스 [서울경제]... 이어 “예비창업자가 합리적인 결정을 내릴 수 있도록 중기부의 ‘소상공인 상권정보시스템’과 서울시의...
2,2018.06.14.,"'내리 3선' 박원순의 11년, 서울의 미래 모습은?","우선 자영업자가 폐업할 경우 소득 중단에 대비하기 위한 '서울형 자영업자 실직안전망'이 추진된다. 1인... 규모의 창업벤처펀드를 조성한다. 마곡R&amp;D시티, 구로G밸리, 상암DMC 등 기존 벤처단지에 신기술 상용화를 지원할..."
3,2018.06.06.,"안철수 ""북, 서울 사정거리 배치한 장사정포부터 빼내야""","서울은 특히 중증""이라며 ""서울은 17개 시·도 중 실업률이 최악이고 자영업자 폐업률도 최악""이라고... 투자와 창업이 봇물 터지듯 이어질 것""이라고 했다. 그는 또 ""V3로 대한민국을 지킨 안철수가 서울시장이 돼..."
4,2018.06.04.,유세현장을 가다...바른미래 안철수 서울시장 후보,"저는 서울을 바꿀 수 있습니다. 제가 의사 그리고 IT 전문가, 벤처창업자 그리고 교수를 거쳤습니다. 따라서... 그리고 실제로 통계 자료들을 보면 실업률 전국에서 최악 그리고 폐업률도 최악. 미세먼지는 세계적으로 가장..."
5,2018.06.07.,[6·13 지방선거] 서울시장 후보 인터뷰-박원순,"폐업자의 회생을 돕는 '서울형자영업자실직안전망'을 구축하겠다. 자영업자들의 평균 생존율은 20%, 나머지... 향후 청년미래 기금을 조성해 청년이 취업, 창업에 활용할 수 있도록 도울 생각이다. 4차 산업 분야는 양질의..."
6,2018.06.04.,<단독 인터뷰>박원순 서울시장 후보 ‘한국 심장부 서울비전을 말하다’,"둘째, 폐업자의 회생을 돕는 ‘서울형 자영업자 실직안전망’ 구축자영업자들의 평균생존율은 20%밖에 되지... 또한 자영업자의 창업부터 실패 가능성을 줄일 수 있도록 빅데이터를 이용해 컨설팅과 기술자문을..."
7,2018.06.07.,[6·13 지방선거] 서울시장 후보 인터뷰-안철수,"청년 실업문제는 서울시를 기술과 아이디어의 허브로 창업을 활성화시킴으로써 근본적으로 해결하고자한다.... 그러나 지난 7년간의 실패, 실업률과 자영업 폐업률 전국 꼴찌 등의 워낙 큰 실패 때문에 서울시민의 심판을..."
8,2018.06.05.,"[스포츠서울 소비자선호도 1위 브랜드대상:인기명] 조개· 소갈비찜 함께, '조...","뿐만 아니라 인기명의 폐업률 0%로 전 지점이 안정적인 수익을 유지하며 유망프랜차이즈, 창업아이템으로 꼽히고 있으며 서울·경기지역뿐만 아니라 다른 지역에서도 오픈 준비 중으로 전국에서 맛볼 수 있는 맛..."
9,2018.06.05.,[6·13 지방선거 JOB 공약] ① 서울시장:박원순 ‘일자리 나누기’ vs. 김문수...,유급병가를 낸 창업자들에게는 서울시 생활임금 수준의 일당이 지급된다. 박 후보는 ‘서울형 유급병가’에... 상태라 서울시장에 재당선되면 곧바로 시행할 수 있다고 덧붙였다.   자영업자 폐업시 소득 중단에 대응한...
