,date,title,contents
0,2018.12.18.,"[MT리포트]文이 지적한 편의점 과밀, 서울 전역 해당",지난 3분기 기준 3년 간 개업대비 폐업률(편의점·커피숍 등 43개 업종 대상)은 중구가 112.2%로 가장 높았다. 최근 3년 간 100곳이 창업한 동안 112.2개가 문을 닫았다. 종로구는 서울 25개 자치구 중 유일하게 창업 위험...
1,2018.12.19.,서울 종로 신안촌·용산 창성옥등 33곳 '백년가게' 명단 올라,"중기부는 과도하게 높은 자영업자 비중과 빈번한 창업과 폐업 등 '다산다사'의 악순환 구조 속에서 지속... 뽑힌 업체는 음식업 26개, 도·소매업 7개 업체이고, 지역별로 서울·경기 5개, 부산·인천·충북 4개, 전남·전북..."
2,2018.12.11.,"치킨 창업 브랜드 '가마치통닭', 서울 등 수도권 진출 나서","가마치통닭 관계자는 ""현재 서울, 경기 등 수도권 쪽의 상담 문의가 이어지고 있다""며 ""자영업자의 폐업위기를 기회로 전환할 수 있게 가마치통닭 창업을 최대한 도울 계획""이라고 말했다. 가마치통닭은..."
3,2018.12.31.,"새해 첫 아기 울음, 제일병원에서 못 듣는다",제일병원은 1963년에 서울 중구 묵정동에서 개원한 우리나라 첫 여성전문병원이다. 1987년에는 국내 민간병원 최초로 시험관 아기를 분만하는 데 성공했다. 이병철 삼성그룹 창업자의 조카인 고 이동희 박사와 노경병...
4,2018.12.30.,미리 보는 2019 한국영화 72편,"선두주자는 '극한직업(1월23일 개봉).' 마약반 형사들이 범죄조직을 소탕하려고 치킨 가게를 위장 창업하면... '달마야, 서울 가자(2004년)', '방가? 방가!(2010년)' 등을 만든 육상효 감독이 연출한다. '비스트'는 살인사건을..."
5,2018.12.31.,‘창업비용 23분의 1로’…외식 창업의 새 대안 ‘공유주방’,서울 마포구 공덕역 인근에 자리한 서울창업허브에도 특별한 주방이 있다. 언뜻 보면 평범한 푸드 코트... 이처럼 음식점 폐업이 잇따르는 이유는 과포화 상태이기 때문이다. 경쟁이 치열하다 보니 원가 상승이나 임대료...
6,2018.12.30.,[뉴스추적] '여성전문' 제일병원 끝내 문 닫나,"【 기자 】 네, 말씀하신대로 서울 충무로에 있는 국내 첫 여성전문병원입니다. 1963년 문을 열어 올해로 개원 55년이 됐고, 현재 폐원 위기를 맞은 상황입니다. 창립자인 이사장이 고 이병철 삼성그룹 창업자의 조카이고..."
7,2018.12.31.,"[2019신년기획] 정부, 자영업 대책 쏟아내도 소상공인 '갸우뚱'",중소벤처기업부는?지난해?12월?20일?서울?여의도?중소기업중앙회에서?문재인?대통령이?직접?지시한?자영업?... 쇼핑·커뮤니티·청년창업·지역문화?등을?한?곳에?집약할?계획이다. 또?5년간?지역마다?80억원까지?...
8,2018.12.31.,"[인터뷰] IBK창공, “혁신창업기업 생존률 100% 목표”",실제로 지난해 대한상공회의소 조사에 따르면 1~3년 이내 폐업한 창업기업만 60%를 넘어섰다.또 나아가... 현재는 서울에만 창공이 마련돼 있지만 전국적으로 기업 육성 대표 플랫폼으로 자리잡는 것이다. 내년에는 부산에...
9,2018.12.31.,[2018 프랜차이즈 결산①] 대한민국 프랜차이즈 산업의 '암적' 존재 '회장님',가맹점주를 상대로 수년간 갑질한 혐의로 구속기소 된 미스터피자 창업주 정우현 전 MP그룹 회장이 지난 1월... 여직원 성추행 의혹을 받고 있는 호식이두마리치킨 최호식 전 회장이 지난해 서울강남경찰서로 출두해...
10,2018.12.31.,"[2019신년기획] 정부, 자영업 대책 쏟아내도 소상공인 '갸우뚱'",중소벤처기업부는?지난해?12월?20일?서울?여의도?중소기업중앙회에서?문재인?대통령이?직접?지시한?자영업?... 쇼핑·커뮤니티·청년창업·지역문화?등을?한?곳에?집약할?계획이다. 또?5년간?지역마다?80억원까지?...
11,2018.12.30.,[이홍구 창업칼럼] 폭풍전야의 2018년 창업시장을 보내며,"닫고 폐업한 사태가 속출했다. 서울의 경우 전통적으로 장사가 잘 되는 유명 상권인 종로, 대학가들이 몰려... 결국 기존 자영업은 폐업하고 신규창업은 늘어나지 않는 결과를 가져온 것이다. 2019년 창업시장은 분명히..."
12,2018.12.30.,부평·주안 국가산업단지 2019년도 청년친화형 선도 산업단지 선정,"부평·주안 산단은 산업단지별 구체적 사업수요 등을 반영해 산단환경개선펀드(국비 2천500억원), 휴·폐업공... 서울 접근성이 좋아 청년들이 선호하는 지역으로 꼽힌다. 다만, 창업과 혁신 인프라가 부족하고 주차난이..."
13,2018.12.27.,절실한 사람 많은데... '백종원'을 왜 이렇게 이용할까,"25세에 창업을 한 청년인 그는 ""솔직히 말해 (크로켓을) 좋아한다고까지는...""이란 말만 늘어 놓았다.... ""폐업할 거예요? 원래대로면 개업 하면 안 되는 거예요"" ▲  &lt;백종원의 골목식당&gt;의 한 장면 ⓒ SBS 고로케집은..."
14,2018.12.31.,"[인터뷰] IBK창공, “혁신창업기업 생존률 100% 목표”",실제로 지난해 대한상공회의소 조사에 따르면 1~3년 이내 폐업한 창업기업만 60%를 넘어섰다.또 나아가... 현재는 서울에만 창공이 마련돼 있지만 전국적으로 기업 육성 대표 플랫폼으로 자리잡는 것이다. 내년에는 부산에...
15,2018.12.26.,[MT리포트]초라해진 '가상자산'… 블록체인은 괜찮을까,폐업을 선언했다. 프로젝트 진행을 위한 자금을 유치하지 못한 탓이다. 이고르 아르타모노프 ETCDEV 창업자는... 서울중앙지법은 지난 10월말 NH농협은행으로부터 거래중단(계좌 입금정지) 통보를 받은 거래사이트...
16,2018.12.31.,[2018 프랜차이즈 결산①] 대한민국 프랜차이즈 산업의 '암적' 존재 '회장님',가맹점주를 상대로 수년간 갑질한 혐의로 구속기소 된 미스터피자 창업주 정우현 전 MP그룹 회장이 지난 1월... 여직원 성추행 의혹을 받고 있는 호식이두마리치킨 최호식 전 회장이 지난해 서울강남경찰서로 출두해...
17,2018.12.26.,"GS25, 업계 첫 가맹점주 수익 최대 78%까지 상향...가맹점 상생안 발표","GS리테일이 운영하는 GS25는 26일 서울 강남구 GS리테일 본사에서 전국 GS25 경영주 협의회 회장단과의 간담회를 갖고 가맹점주 이익 향상 및 희망 폐업 제도화 등이 포함된 상생안을 수립, 내년부터 시행에 나서기로..."
18,2018.12.26.,[새해 달라지는 것] 인천공항 입국장 면세점 시범 도입,▲ 콘텐츠 스타트업 지원 확대 = 콘텐츠 분야 창업육성 지원 예산이 올해 19억원에서 내년 30억원으로... ▲ 폐업 희망 소상공인 재기 지원 확대 = 폐업을 희망하는 소상공인의 점포철거와 원상복구 지원 규모를 올해...
19,2018.12.25.,"퇴직금에 대출금 얹어 차린 치킨집…""남은 인생, 빚 갚으며 살아야""",주차관리·경비원도 기계에 뺏겨 자동화와 무인화도 이들을 창업 정글로 내모는 요인 중 하나다. 은퇴 후 주차관리 요원으로 일하다 최근 실직한 한철원 씨(62)는 “퇴직하고 4년간 서울 마포구의 주상복합 건물에서...
20,2018.12.18.,[MT리포트] 中 화웨이는 왜 '공공의 적'이 됐나,"등 폐업 위기에 처했다. 최종적으로 14억 달러의 벌금을 내고, 미국 측 준법감시인을 두는 데 합의하고서야 간신히 회생의 발판을 마련했다. 화웨이 창업주의 딸이자 유력한 후계자인 멍완저우 최고재무책임자(CFO)가..."
21,2018.12.20.,2022년까지 자영업 밀집 구도심 상권 30곳 복합개발…최대 80억 지원,쇼핑·커뮤니티·창업 등이 밀집한 복합공간으로 조성하기로 했다. 또 내년 지역(고향)사랑 상품권 발행을... 홍종학 중소벤처기업부 장관은 이날 서울 여의도 중기중앙회에서 브리핑을 갖고 이 같은 내용을 골자로 한...
22,2018.12.29.,[M경제매거진] 민간투자 ‘12조원+α’ 열고 소득주도성장 일보 후퇴,"많아져 창업 붐이 일어나야 한다. 소비 확대를 통해 자영업자와 소상공인의 경영여건도 개선시켜야... GBC는 현대자동차가 서울 강남구 삼성동 옛 한국전력 부지에 세우려고 하는 105층짜리 신사옥으로, 3조7,000억원이..."
23,2018.12.20.,[이슈분석]'자영업 성장·혁신 종합대책' 무엇을 담았나,"기관, 서울·경기·인천 등 지방자치단체 협의를 거쳤다. 단순 의견제시를 넘어 정책 과제를 발굴하고... ◇성장 역량 제고하고 준비된 창업 유도 정부는 '성장·혁신하는 자영업, 잘 사는 자영업자'를 종합대책 비전으로..."
24,2018.12.20.,"자영업자 살리기 '종합처방전'…""문제는 디테일"" [뉴스분석]",자영업의 창업-폐업-재기에 이르는 생애주기별 성장환경 조성에 초점을 맞췄다. 상권 보호와 상생 협력을... 소상공인 만난 洪 부총리 홍남기 경제부총리 겸 기획재정부 장관(왼쪽)이 20일 서울 종로구 소상공인진흥공단...
25,2018.12.20.,"文정부, 자영업자 경제 성장 주체로 키운다",홍종학 중소벤처기업부 장관(오른쪽 두번째)이 20일 오전 서울 여의도 국회 의원회관에서 열린... 신사업창업사관학교를 복합형 교육시설로 확대한다. 폐업을 앞둔 소상공인들이 일자리를 찾을 수 있도록 재기교육도...
26,2018.12.25.,[아듀!2018]바이오업계 회계이슈 '몸살'…기술수출 '열매',삼성바이오로직스는 증선위 결정에 불복해 11월27일 서울행정법원에 행정소송을 제기하는 동시에 대표... 이는 유망 바이오업체들이 자금 고갈로 폐업하는 '죽음의 계곡'을 넘어 신약 개발에 필요한 자금 조달에...
27,2018.12.21.,<10문10답 뉴스 깊이보기>도시 ‘기존 틀’ 유지하며 주거환경 개선·구도심 ...,하지만 주력산업인 조선업이 쇠퇴하면서 기업 폐업이 속출하고 실업률이 35%에 육박했다. 구겐하임 미술관 분관을 유치하면서 산업도시를 문화도시로 재생한 대표적인 사례로 꼽힌다. 하이라인 파크는 ‘서울 7017’...
28,2018.12.20.,'골목식당' 백종원 혹평 쏟아진 역대급 피자집의 탄생(종합),"19일 방송된 '백종원의 골목식당'은 10번째로 서울 용산구 청파동 하숙골목을 찾았다. 피자집 사장은 창업... 백종원은 ""이 상태라면 그냥 폐업하는 게 낫다""며 ""마음의 준비도, 메뉴 준비도 안 돼 있으면 폐업하는 게 낫다..."
29,2018.12.19.,[MT리포트] 편의점·카페 창업? '이곳' 피해라,지난 3분기 기준 3년 간 개업대비 폐업률(편의점·커피숍 등 43개 업종 대상)은 중구가 112.2%로 가장 높았다. 최근 3년 간 100곳이 창업한 동안 112.2개가 문을 닫았다. 종로구는 서울 25개 자치구 중 유일하게 창업 위험...
30,2018.12.21.,"식신, '백년가게 맛 지도' 공개","백년가게는 높은 자영업자 비중과 빈번한 창업과 폐업 등 '다산다사'의 악순환 구조 속에서 지속 성장하는... 이번 맛지도는 선정된 81개의 백년가게 매장 중 음식점으로 등록된 59개의 가게를 대상으로 하였으며, 서울, 경기..."
31,2018.12.26.,[새해 달라지는 것]종부세 인상ㆍ반려견에 목줄착용등 29개 부처 내용 총정리,내 창업(사업장 신설 포함)한 기업은 법인세·소득세를 5년간 100％ 감면받는다. 대기업과 중견기업의 경우... ▲ 폐업 희망 소상공인 재기 지원 확대 = 폐업을 희망하는 소상공인의 점포철거와 원상복구 지원 규모를 올해...
32,2018.12.20.,고용절벽에 20대 '나홀로' 자영업자 늘었다,"6%↑ - 20대 제외한 전 연령대에서 1인 자영업자 줄어 - ""경험없는 20대 창업실패로 이어질 가능성 커"" 서울... 국세청에 따르면 지난해 기준 자영업자는 약 568만명인 것에 반해 창업자 대비 폐업 비율(폐업률)은 72.2%에..."
33,2018.12.29.,"소자본리빙창업 경단녀, 취업 대안으로 떠오르는 오브글로우 쇼핑몰창업","휴ㆍ폐업과 재창업이 반복되는 다산다사(多産多死) 구조를 갖고 있는 것으로 분석됐다. 불황시장성에도... 오브글로우는 현재 전국 직영점 [서울송파가든파이브점,오브글로우 대구본사] 포항 대리점,양산대리점..."
34,2018.12.27.,경기침체·정부발악재 덮친 유통업계 핵심키워드 ‘생존’,사진은 서울 시내의 한 편의점 ⓒ스카이데일리 편의점 폐업점포수도 늘어나는 추세다. 지난 8월까지... 창업주 권원강 회장 6촌 동생의 직원 폭행 동영상이 공개되며 파문이 일었기 때문이다. 사건은 권 회장의 6촌...
35,2018.12.23.,"[블록체인 오딧세이] 암호화폐 폭락·규제 공백...업계, 고난의 한 해",새롭게 시장에 진입한 업체들도 ICO 분위가 살아나지 않아 창업 이후 힘든 시기를 보냈다. 전반적인 시장... 지닉스는 논란이 커지자 해당 상품 판매를 중단하고 폐업을 선언했다. ◇규제 공백에 보안·사기 사건 발생......
36,2018.12.28.,"허리띠 졸라맸던 15만 소상공인, 내년엔 삼시세끼 배불리","무분별한 창업과 과잉 경쟁, 임대료 상승 등으로 힘들어하는 소상공인들을 위해 소상공인 (재)창업·폐업... 수도권인 인천과 경기, 서울이 선도적으로 업무를 수행하게 된다. 현재 가맹브랜드의 약 70%가 수도권에..."
37,2018.12.20.,"[어게인TV] '골목식당' 백종원, 성내동 능가하는 피자집에 ""폐업하는 게 낫다...",19일 밤 방송된 SBS '백종원의 골목식당'(이하 골목식당)에서는 10번째 골목 서울 용산구 청파동 하숙 골목... 창업한 지 몇 달 되지 않은 가게도 나와서 제작진이 일부러 섭외한 거 아니냐고 한다. 그런 일이 있다면 고발해...
38,2018.12.24.,"농식품부·aT, 청년키움식당 우수사례 시상식",농림축산식품부와 한국농수산식품유통공사(이하 aT)는 지난 18일 서울 삼경교육센터에서 '청년키움식당... 초기 폐업율이 타 산업에 비해 높은 분야이기 때문에 창업 전 철저한 준비과정을 통해 사업을 조기에 안착시킬 수...
39,2018.12.10.,박원순 시장 어깨띠두르고 홍보해도...제로페이 가입률 2.5%,"전국 최고의 상권인 서울 명동에만 폐업을 한 채로 비어 있는 매장이 현재 수십 곳에 달한다. 삼청동... 이경희 한국창업전략연구소 소장은 ""서울시는 제로페이 가맹점 모집에만 집중하지 말고 이용자가 늘어날 수 있는..."
40,2018.12.28.,"[M경제매거진] 文정부 다섯번째 자영업 대책, 이번엔 합격점?","실효성은 두고 봐야 이처럼 정부의 종합대책은 자영업의 창업부터 폐업까지 맞춤형으로 지원하고, 사회안전망과 복지를 확충하는 내용을 총망라하고 있다. 홍종학 중소벤처기업부 장관은 12월20일 서울 여의도..."
