,date,title,contents
0,2020.09.29.,"얼어붙은 ‘망리단길’…공실률은 서울 최저지만, 매출은 바닥",이 수치는 서울 내 위치한 51곳 주요 상권을 조사해 평균으로 나타낸 것이다. 이 상권들 중 1%대 낮은 공실률을 기록하고 있는 상권은 3곳으로 조사됐으며 그중 한 곳은 1.6% 공실률을 기록한 망원역 상권이었다. 망원역...
1,2020.09.28.,"[종합] 서울시, 코로나 타격업종에 총 3000억원 0%대 '초저금리' 지원","추석방역을 위해 사회적 거리두기 2단계 조치를 내달 11일까지 연장한 서울시는 이에 따른 골목상권에 생존권 확보를 위해 3000억원 규모의 0%대 초저금리 융자를 마련, 영업금지 및 제한으로 어려움을 겪고 있는..."
2,2020.09.30.,"[포토]서양호 서울 중구청장, 주한중국대사와 명동 상인 격려","서양호 서울 중구청장이 싱하이밍(邢海明) 주한중국대사와 함께 29일 오전 추석을 앞두고 명동을 찾았다.... 감사드리며 하루빨리 명동 상권이 정상화될 수 있도록 구에서도 여러 가지 방안을 모색하겠다""고 전했다."
3,2020.09.29.,"중랑구, 서울시·SH공사와 ‘SH공사 중랑구 이전 위한 협약’ 체결","또한, 1,300여 명의 서울주택도시공사 임직원 및 공공임대 청약 등을 위해 연간 약 10만 명의 유동인구 유입으로 상권 매출 증대 등 지역 경제 전반에 걸쳐 큰 활력을 불어 넣을 것으로 내다보고 있다. 서울시, 구..."
4,2020.09.29.,풍부한 고정수요&활발한 유동인구 모두 흡수…블랙홀 상가 ‘서울신내역 시티...,"게다가 ‘서울신내역 시티원스퀘어’가 들어서는 상권에는 대형 체육시설과 복리시설들이 입점할 예정이다. 그뿐만 아니라 상가 내부에도 수영장, 대규모 피트니스 등 각종 편의시설들을 마련해 차별화를 더했다. 한편..."
5,2020.09.27.,"서울 한복판 광화문광장, 공원으로 '재탄생'한다","이에 따라 사직동, 청운효자동, 삼청동 등과 연계된 광화문 일대 보행환경 조성으로 광장의 접근성을 개선, 방문객이 인근 지역으로 유입되는 효과를 가져와 주변 지역상권이 점차 활성화 될 것으로 보인다. 실제 서울연구..."
6,2020.09.27.,"서울시, 광화문 광장 서쪽에 공원 만든다",서울시가 광화문 광장을 넓혀 공원을 만든다. 현재 세종문화회관 앞쪽 도로를 없앤다. 보행 환경은 개선될... 인근 지역 상권 침체와 지하 매장 문화재 훼손 우려 때문 지하 공간은 개발하지 않는다. 광장을 중심으로 동서로...
7,2020.09.25.,"서울시, ‘2020 빅데이터 캠퍼스 공모전’ 개최",서울시는 빅데이터로 도시 문제 해법을 찾는 ‘2020 빅데이터캠퍼스 공모전’을 다음달 14일까지... 가령 코로나19의 영향으로 생활인구와 지역별 상권에 어떤 변화가 왔는 지 분석해 볼 수 있다. 전 국민 누구나...
8,2020.09.29.,"중랑구, 서울시 및 SH공사와 SH본사 이전 협약 체결","또한, 1,300여 명의 서울주택도시공사 임직원 및 공공임대 청약 등을 위해 연간 약 10만 명의 유동인구 유입으로 상권 매출 증대 등 지역 경제 전반에 걸쳐 큰 활력을..."
9,2020.09.25.,"서울 강동구, 자전거 특화거리 조성","서울 강동구(구청장 이정훈)는 천호동 공원사거리부터 한강공원 즈믄나들목까지 구간을 자전거 특화거리로... 이 구청장은 ""우리나라 자전거 문화를 선도하면서 지역상권이 함께 상생할 수 있는 문화거리로 만들겠다""고..."
10,2020.09.20.,"'상가 임대료 논란' 서울시, ""연말까지 감면 기한 연장""","[나정용 씨/서울시 산하 점포 상인 : 내년에도 백신이나 치료제 개발이 안 되면, 상권 회복이 더딜 텐데 올 연말까지 한시적으로 면제해준다는 건 상인들의 걱정도 계속된다는 (의미죠.)] 때문에, 코로나 19와 같은 특별한..."
11,2020.09.22.,"""文 정부 들어 소규모 상가 공실률 급등…서울 6%, 목동 17.3%""","서울과 수도권 주요 상권 소규모 상가 공실률이 최근 3년 사이 급등했다는 자료가 나왔다. 2017년 1분기 3.9%였던 전국 소규모 상가 공실률은 올 2분기 6%로 치솟았다. 송석준 국민의힘 의원은 ""문재인 정부 출범 후..."
12,2020.09.23.,"딜라이브, 침체된 서울지역상권 살린다…홍기막 스튜디오 제작","소상공인 상권 돕기 프로젝트 '홍기막 스튜디오'는 9월 25일 오후 2시 딜라이브 서울경기케이블TV ch1을 통해 최초 공개되며, TBS에서는 밤 10시에 첫 회가 방송된다. 아울러 9월 30일 오전 9시에 코미디TV에서도 확인할 수..."
13,2020.09.23.,서울 관악구 대학동·행운동 '생활상권사업' 선정,서울시의 생활상권 사업은 골목상권 활성화를 위해 지역주민이 실제 필요로 하는 서비스를 제공해 지역 내 소비를 유도하는 사업이다. 이 중 '기반사업'은 최종 대상지 선정을 위해 대상지별 수행능력을 평가하는 사전...
14,2020.09.22.,"배민, 서울 전통시장 떡볶이·부침개도 배달한다","참여 시장은 서울시 내 전통시장 4곳으로 송파구 잠실 새마을시장, 마포구 망원시장, 망원월드컵시장... 골목상권 활성화에 기여하는 다양한 지원책을 고민하고 실행해 나갈 것""이라고 말했다. 한편 배민은 소비심리..."
15,2020.09.27.,"[르포] 서울 특수상권 강남구에서 폐업상가 4400건, “유명 브랜드도 철수 행...","서울시 25개 자치구 중 폐업률 1위, “요지부동 임대료에 업종 구분 없이 폐업 속출” 9월 17일 서울 서초동... 대한민국 대표 상권으로 분류되던 강남역 일대도 코로나19의 확산으로 불황이 가중되는 모습이다. 매출..."
16,2020.09.26.,"서울 중심 종로에도 상가 공실 속출, “권리금 포기하고 장사 접는 건 처음”",같은 기간 서울 중대형상가 공실률은 7.9%로 동일했고 소형상가 공실률은 4.0%에서 4.2%로 증가했다. 종로 상권은 상황이 상대적으로 낫다고 볼 수도 있지만 대한민국 중심 상권에서 공실률 증가 추이가 가파르다는 게 지역...
17,2020.09.19.,"골목상권까지 초토화, 지도로 본 서울 폐업 실태 [이슈&탐사]","폐업 쓰나미는 자영업자들이 몰려있는 서울 주요 자치구 상권에서부터 시작돼 주택가 골목상권에까지 침투했다. 폐업 공포는 코로나19가 장기화하면서 식품, 문화, 생활 등 업종 모두에 전방위적으로 퍼졌다. 폐업의..."
18,2020.09.28.,"서울시, 신세계의 센트럴시티 복개주차장 운영권 3년 연장 유력 [단독]","서울시가 반포천 복개주차장 시설운영권을 연장하는 방안을 추진하면서 신세계는 그룹의 상징과도 같은 강남 고속버스터미널 일대 상권을 계속 지킬 가능성이 커졌다. 이 일대는 신세계백화점 강남점, 파미에스테이션..."
19,2020.09.26.,"'김영철의 동네 한 바퀴' 반짝이는 꿈들의 땅, 서울 서교동-합정동","서교동, 합정동 일대를 일컬어 하나의 고유명사처럼 불리는 홍대 앞은 서울의 대표 상권이자, 새로운 문화의 탄생지이기도 하다. 낯선 문화도 너그러이 포용하고 파격이 오히려 각광을 받는 곳. 그래서 누군가는 가보지..."
20,2020.09.22.,"서울 관악구, 추석 앞두고 방역·안전대책 가동",서울 관악구(구청장 박준희)는 추석을 앞두고 신종 코로나바이러스 감염증(코로나19) 확산을 막고 구민... 안심상권 자율방역단의 방역활동을 적극적으로 지원한다. 연휴 기간에도 보건소는 오전 9시부터 오후 1시까지...
21,2020.09.28.,"셀프빨래방 워시큐, ‘IFS 프랜차이즈 서울’ 연기…온라인 상담 서비스 강화","프랜차이즈 서울박람회’가 연기되면서 계획보다 빠르게 이뤄졌다. AMPM워시큐는 창업에 대한 정보를 얻을... AMPM워시큐는 창업자가 희망하는 상권, 예산, 규모 등에 따라 다양한 타입의 복합매장을 제안한다. 편의점..."
22,2020.09.27.,"중대본, 수도권 방역조치 점검…서울시 ""추석연휴 자가격리자 24시간 관리""",[ 경기도는 도내 운송업체 전세버스 운행 여부 점검] #서울시는 추석연휴 기간인 9월 30일부터 10월 4일까지... 전통시장 및 골목상권에선 정기소독을 실시할 계획이다. 해당 상권에 충전식 분무기 등 방역물품을 전달하는...
23,2020.09.25.,“서울형 공정임대료로 임대차 갈등 해소”,서울 주요 상권 150개 핵심 거리에 있는 1만5000개 점포의 임대료와 권리금 같은 주요 정보를 기반으로 감정평가사 등이 산출한 데이터로 임대료 증액이나 감액 조정의 잣대로 활용한다. 서울시는 정확한 데이터 산출을...
24,2020.09.24.,"BC카드 '부산 금융빅데이터 플랫폼랩' 개소식, 서울 이어 두 번째","BC카드는 2019년 12월 서울 을지로에서 '서울 금융 빅데이터 플랫폼랩'을 구축하고 '구매 품목별 온라인소비 상권분석', '아파트지역 소비 데이터 활용한 신도시 계획 설계지원', '아파트 관리비 데이터 분석 통한 전기요금..."
25,2020.09.16.,서울 고려대 인근 등 23곳서 도시재생뉴딜…총 1.2조원 투자,지역으로 서울 성북과 인천 부평 등 총 23곳을 선정했다. 이번에 선정된 곳은 총괄사업관리자 사업방식과... 만들어 상권을 활성화하며 정주환경을 개선하는 일반 근린형 사업으로서 한국토지주택공사(LH)가...
26,2020.09.24.,서울 상가 2만 개 증발…명동도 종로도 ‘공실의 눈물’,"마침 이날 부동산114는 국내 상권의 처참한 현실을 보여주는 집계를 발표했다. 부동산114가 소상공인시장진흥공단의 상가 데이터를 분석한 결과에 따르면, 올해 2분기 서울의 상가 수는 37만321개로, 1분기 39만1499개보다..."
27,2020.09.22.,[르포] 거리두기 2단계 복귀 1주일…활기 돌아온 서울의 저녁,""" 서울 종로에서 A 식당을 운영하고 있는 김모(50·남) 씨는 지난 21일 저녁 사회적 거리두기 2단계 복귀 이후... 업계는 코로나19 상황에 소비자가 익숙해지면서 골목상권에 활기가 돌아오는 것 자체는 반가운 일로..."
28,2020.09.23.,"[종합] 확진자 다시 40명대...서울시, 방역·민생 투트랙 추석대책",이밖에도 치솟은 추석물가로부터 시민부담을 덜기 위해 다음달 5일까지 물가대책 종합상황실을 운영하고 서울사랑상품권을 자치구별(노원구 제외 24개)로 추가 발행해 침체된 지역상권 활성화를 지원한다....
29,2020.09.28.,서울 강서권 중심 오피스텔 '가양역 베르데하우스' 분양,가양역 베르데하우스는 서울 강서구의 교통과 상권 중심지에 위치한 오피스텔로 지하 1층부터 지상 13층으로 지어지며 총 132실의 오피스텔로 조성된다. 전세대 2룸 3Bay 설계로 채광과 통풍이우수하고 풀퍼니시드의...
30,2020.09.15.,"서울시 2600억 규모 4차 추경안 통과…""시민 이중고 덜 것""(종합)","서울시가 신종 코로나바이러스 감염증(코로나19) 장기화에 대응하고 민생경제에 활력을 불어넣기 위해... 고난의 강을 건너고 있는 소상공인, 골목상권의 어려움을 경감하고 재난에 더 취약한 사회적 약자를 보호하는데..."
31,2020.09.23.,조선 시대 '핫플' 서울 청진동 일대 유물 최초 공개,/ 한성백제박물관 제공 조선시대 핵심 상권인 시전(市廛)이 있었던 서울 종로구 청진동 일대에서 발굴·출토된 유물 700여 점이 최초 공개된다. 조선시대 왕비가 사용한 국보급 결재용 인장(도장)도 처음으로 공개된다....
32,2020.09.23.,"""가구는 직접봐야"" 서울최대 770평 매장 낸 에몬스가구","국내 대표 가구밀집 상권인 서울 강남 논현동에 위치한 2541㎡(770평) 규모 매장이다. 23일 에몬스에 따르면 국·내외 가구 브랜드가 밀집한 논현동 가구거리에 문을 연 '에몬스 논현 전시장'은 1~3층에 규모로, 가정용..."
33,2020.09.07.,코로나 직격탄에 '텅 빈 거리'···3개월새 서울상가 2만개 폐업,# 이화여대·신촌 상권에서 경양식집을 운영하는 B씨는 현재 가게 문을 닫고 다른 식당 등에서... 코로나19 여파로 올 2·4분기 서울에서 전 분기 대비 2만개 이상의 가게가 문을 닫은 것으로 나타났다. 폐업한 점포의...
34,2020.09.24.,"망원역 상권, 상가 공실률 서울 최저… 매출은 낮아",이 수치는 서울 내 위치한 51곳 주요 상권을 조사해 평균으로 나타낸 것이다. 이 상권들 중 1%대 낮은 공실률을 기록하고 있는 상권은 3곳으로 조사됐으며 그중 한 곳은 1.6% 공실률을 기록한 망원역 상권이었다. 망원역...
35,2020.09.24.,"주택 규제에 상가 거래 '증가'…""복합쇼핑몰 ‘서울신내역 시티원스퀘어’ 주...","이에 따라 ‘서울신내역 시티원스퀘어’는 쿼드러플 역세권으로 확장되어 수많은 유동인구를 흡수할 수 있을 것""으로 전망했다. 또 ""시티원스퀘어가 들어서는 상권에는 대형 체육시설과 복리시설들이 입점할 예정이다...."
36,2020.09.15.,서울 2년마다 새 구청사 건립,"신종 코로나바이러스 감염증(코로나19) 방역 국면 속에서 서울 자치구들이 신청사 건립에 박차를 가하고... 다만 자치구들은 신청사 건립 시 건설 일자리 창출, 지역 상권 활성화 등 지역 경제에 활력을 불어넣어 줄..."
37,2020.09.16.,배달시장 변화올까 … 공공배달앱(서울시 제로배달앱) 출시,"상권이 집중된 수도권에서 일정 이상 시장 판도에 영향을 미치면 공공배달이 전국으로 확산될 가능성도 점쳐진다. 서울시 관계자는 ""공공배달앱은 코로나19로 심화된 중소상공인 경영난 개선과 소득 감소로 고통받는..."
38,2020.09.21.,쿼드러플 역세권 갖춘 초대형 랜드마크 상가! ‘서울신내역 시티원스퀘어’ 희...,"게다가 ‘서울신내역 시티원스퀘어’가 들어서는 상권에는 대형 체육시설과 복리시설들이 입점할 예정이다. 뿐만 아니라 상가 내부에도 수영장, 대규모 피트니스 등 각종 편의시설들을 마련해 차별화를 더했다.한편..."
39,2020.09.21.,"상가 임대료 올렸던 서울시, 논란 일자 ""연말까지 감면""","[나정용 씨/서울시 산하 점포 상인 : 내년에도 백신이나 치료제 개발이 안 되면, 상권 회복이 더딜 텐데 올 연말까지 한시적으로 면제해준다는 건 상인들의 걱정도 계속된다는 (의미죠.)] 때문에, 코로나 19와 같은 특별한..."
40,2020.09.23.,서울 동북권 고정수요·유동인구 흡수하는 블랙홀 상가 ‘서울신내역 시티원스...,"게다가 ‘서울신내역 시티원스퀘어’가 들어서는 상권에는 대형 체육시설과 복리시설들이 입점할 예정이다. 뿐만 아니라 상가 내부에도 수영장, 대규모 피트니스 등 각종 편의시설들을 마련해 차별화를 더했다. 한편..."
41,2020.09.14.,"서울 강서구, 마곡지구에 통합신청사 건립","서울 강서구(구청장 노현송)는 마곡지구에 통합신청사를 건립하기로 결정, 2026년 완공을 목표로 본격적인... 구청사 이전으로 인해 주변 상권이 위축될 수 있다는 우려가 있으나 구는 현 청사 주변부지 종상향을 위해..."
42,2020.09.25.,[여행 ＆ 건축 이야기] 도심 속 옛 정취가 흐르는 서울 북촌,"경기고, 휘문고, 서울고, 숙명여고 같은 명문학교가 근방에 있었다. 그런데 논과 밭뿐이었던 강남이... △북촌서 가장 오래된 상권 계동길 ‘읍내 분위기’ 안국역 3번 출구로 나와 북쪽으로 곧게 뻗은 길이 ‘계동길’이다...."
43,2020.09.25.,서울 집단감염 계속…은평구 코로나19 발생 현황은?,"후 상권 활성화 기대"" 소상공인 위한 '새희망자금' 지급 시작 Q3. 코로나19 확산 이후 지역의 문화 행사... ▶ 가장 빠르고 정확한 지역 소식, 지역채널 25번 [헬로tv뉴스 서울] 매일 저녁 6시 25분, 우리 지역 대표 지역뉴스..."
44,2020.09.21.,이경선 서울시의원 “성북 장석월 상품권 발행 환영”,"성북구 사랑제일교회 발 코로나 재확산으로 침체된 장위·석관·월곡동 지역 상권 내 소상공인 매출 증대를... 이에 이경선 서울시의원(더불어민주당, 성북4)은 지난 11일 장위 전통시장을 방문해 상인들의 애로사항을..."
45,2020.09.02.,서울로7017 연결 골목길 재생…'성요셉 문화거리' 조성,상권 활성화와 지역 내 소상공인 보호를 위한 마을 정책을 주민이 주체가 돼 추진한다. 서울시와 중구는 조성사업이 완료되는 10월 중 지역 주민들과 이런 내용으로 '민관협력 상생협약'을 체결하기로 했다. 이번...
46,2020.09.10.,[단독] 장위·석관동에서만 쓸 수 있는 서울사랑상품권 나온다,이 상품권의 할인율은 지역 상권이 초토화된 상황을 감안해 15~20%로 책정할 예정이다. 일반적으로 서울사랑상품권은 지역에 따라 액면 가격의 7~10% 가량 할인된 금액에 판매하고 있다. 서울시와 성북구는 지역 사회 집단...
47,2020.09.11.,"당근마켓, 관악구·서울신용보증재단과 지역상권 활성화 협력","당근마켓은 서울 관악구·서울신용보증재단과 지역 상권 활성화를 위한 업무협약을 체결했다고 11일 밝혔다. 당근마켓은 관악구 지역 상인들에게 모바일 판로를 제공하고, 관악구민이 지역 상점에서 사용할 수 있는 할인..."
